iter	Logloss
0	0.6870028687
1	0.6826687622
2	0.6767018127
3	0.6706446075
4	0.6663153076
5	0.6600193787
6	0.6550546265
7	0.6493914032
8	0.645171814
9	0.6420396423
10	0.6380789185
11	0.6339710999
12	0.6279698944
13	0.6226337433
14	0.6184281921
15	0.6138533401
16	0.6102563477
17	0.6055728149
18	0.601289444
19	0.5957948303
20	0.5904629517
21	0.5859060669
22	0.5821024323
23	0.5771258545
24	0.5724230194
25	0.5683580017
26	0.5641703415
27	0.5608589172
28	0.5557146454
29	0.5506712723
30	0.547599144
31	0.5434280396
32	0.5392351151
33	0.5370741272
34	0.5341584778
35	0.5310636902
36	0.5270146179
37	0.5229663086
38	0.5195763397
39	0.515503006
40	0.5120004654
41	0.5097447968
42	0.5065771866
43	0.5023689651
44	0.4993781281
45	0.4964448547
46	0.4938484573
47	0.4904880524
48	0.4869638062
49	0.4824835205
50	0.4792474365
51	0.4773680115
52	0.4748794937
53	0.4723423386
54	0.4688736343
55	0.4670393372
56	0.464919281
57	0.461889801
58	0.4596953583
59	0.4565277863
60	0.4541262817
61	0.4515328598
62	0.448324585
63	0.4467554092
64	0.4447365952
65	0.4429663849
66	0.4403977203
67	0.4388143921
68	0.4375914001
69	0.4348851013
70	0.432783432
71	0.4291924286
72	0.4281293488
73	0.4260427475
74	0.4229325104
75	0.4220098877
76	0.4200709534
77	0.4181807709
78	0.4153794098
79	0.4136631012
80	0.4112213898
81	0.4093582535
82	0.4080303955
83	0.4066516495
84	0.405369339
85	0.4039325714
86	0.4028652954
87	0.4013744736
88	0.3991910172
89	0.3966681671
90	0.3950481415
91	0.39360672
92	0.3914524841
93	0.3896939087
94	0.387176857
95	0.3849432373
96	0.3837985229
97	0.381900177
98	0.3806912994
99	0.3792230225
100	0.37786026
101	0.3757539368
102	0.3736519623
103	0.3716762543
104	0.3701290894
105	0.368418541
106	0.3662182236
107	0.3645289612
108	0.3628436661
109	0.361723175
110	0.3605836487
111	0.3591070175
112	0.3578433228
113	0.3554464722
114	0.3537147522
115	0.3526610947
116	0.3508677292
117	0.3492335129
118	0.3478655243
119	0.3465414047
120	0.3453532028
121	0.3434670258
122	0.3418179321
123	0.3399834442
124	0.3385506439
125	0.3368245697
126	0.3356011581
127	0.3342775726
128	0.3334542847
129	0.3328599167
130	0.3314207458
131	0.3303678131
132	0.3287535858
133	0.3271389389
134	0.325932312
135	0.3252792358
136	0.3233578873
137	0.3220331192
138	0.3206948471
139	0.31931036
140	0.3184381485
141	0.3168282318
142	0.3155181694
143	0.314786396
144	0.3133226776
145	0.3126724243
146	0.3113235474
147	0.3099250793
148	0.3086131287
149	0.307957592
150	0.3072161484
151	0.3055666351
152	0.3047084427
153	0.3037782669
154	0.3030654526
155	0.3024026108
156	0.3009329987
157	0.3000389481
158	0.2983658218
159	0.2972021484
160	0.295994339
161	0.2947459412
162	0.2934764862
163	0.2926825714
164	0.2912514496
165	0.2905244446
166	0.2893712997
167	0.2885207939
168	0.2877850342
169	0.2871236038
170	0.2860374832
171	0.2852170563
172	0.2842476463
173	0.2836151505
174	0.2827418709
175	0.281750679
176	0.2811767578
