iter	Passed	Remaining
0	159	159575
1	171	85393
2	181	60238
3	190	47489
4	201	40064
5	212	35153
6	221	31414
7	230	28595
8	239	26351
9	248	24588
10	257	23157
11	266	21903
12	275	20920
13	284	20066
14	294	19327
15	304	18719
16	313	18120
17	324	17707
18	333	17194
19	343	16829
20	354	16545
21	366	16288
22	376	15981
23	389	15820
24	398	15528
25	407	15253
26	420	15151
27	434	15081
28	446	14947
29	456	14766
30	466	14589
31	477	14447
32	488	14308
33	498	14158
34	507	13998
35	522	13981
36	538	14019
37	554	14041
38	565	13937
39	575	13821
40	586	13719
41	595	13587
42	605	13471
43	614	13361
44	624	13245
45	633	13145
46	642	13033
47	652	12931
48	662	12865
49	674	12812
50	685	12758
51	696	12692
52	706	12631
53	716	12554
54	727	12503
55	738	12441
56	749	12401
57	759	12334
58	769	12268
59	780	12225
60	790	12174
61	802	12134
62	814	12111
63	823	12044
64	832	11976
65	843	11940
66	853	11879
67	863	11831
68	872	11769
69	881	11706
70	890	11646
71	900	11600
72	909	11554
73	922	11539
74	937	11558
75	949	11543
76	961	11523
77	973	11507
78	1015	11834
79	1036	11918
80	1063	12063
81	1080	12098
82	1103	12189
83	1117	12182
84	1132	12187
85	1160	12332
86	1185	12437
87	1208	12526
88	1224	12534
89	1259	12731
90	1286	12855
91	1303	12868
92	1322	12897
93	1339	12909
94	1353	12891
95	1365	12860
96	1379	12837
97	1404	12926
98	1419	12922
99	1438	12949
100	1451	12915
101	1462	12875
102	1474	12842
103	1489	12831
104	1504	12820
105	1517	12796
106	1529	12767
107	1543	12744
108	1569	12831
109	1586	12834
110	1599	12814
111	1614	12801
112	1632	12812
113	1644	12780
114	1658	12761
115	1669	12722
116	1684	12711
117	1696	12679
118	1707	12644
119	1724	12645
120	1739	12636
121	1759	12664
122	1774	12650
123	1791	12656
124	1806	12643
125	1819	12619
126	1829	12578
127	1841	12547
128	1857	12540
129	1878	12573
130	1896	12583
131	1910	12562
132	1929	12578
133	1943	12558
134	1957	12539
135	1980	12581
136	1995	12567
137	2007	12537
138	2016	12492
139	2029	12464
140	2040	12429
141	2051	12394
142	2062	12359
143	2081	12374
144	2094	12348
145	2105	12318
146	2116	12280
147	2127	12247
148	2137	12209
149	2146	12163
150	2156	12126
151	2167	12092
152	2178	12058
153	2188	12024
154	2199	11990
155	2209	11952
156	2219	11919
157	2231	11892
158	2241	11854
159	2250	11816
160	2261	11784
161	2271	11748
162	2282	11720
163	2292	11687
164	2304	11661
165	2315	11633
166	2326	11605
167	2339	11584
168	2350	11557
169	2362	11534
170	2373	11507
171	2385	11482
172	2397	11460
173	2409	11436
174	2422	11419
175	2435	11402
176	2445	11373
177	2457	11350
178	2470	11329
179	2480	11301
180	2496	11295
181	2509	11279
182	2521	11257
183	2535	11243
184	2550	11238
185	2562	11215
186	2573	11188
187	2584	11164
188	2599	11156
189	2617	11159
190	2643	11195
191	2665	11215
192	2682	11215
193	2702	11228
194	2716	11213
195	2726	11185
196	2739	11165
197	2750	11140
198	2760	11110
199	2770	11080
200	2781	11056
201	2793	11036
202	2806	11019
203	2817	10995
204	2829	10974
205	2841	10952
206	2852	10927
207	2864	10906
208	2877	10890
209	2890	10872
210	2902	10852
211	2914	10833
212	2929	10823
213	2941	10803
214	2951	10776
215	2963	10755
216	2972	10725
217	2982	10697
218	2992	10672
219	3002	10644
220	3012	10618
221	3023	10597
222	3033	10568
223	3043	10542
224	3052	10514
225	3063	10492
226	3074	10470
227	3086	10450
228	3095	10422
229	3106	10400
230	3117	10378
231	3126	10349
232	3138	10330
233	3148	10305
234	3157	10277
235	3167	10255
236	3178	10232
237	3187	10204
238	3198	10185
239	3209	10163
240	3218	10136
241	3228	10112
242	3240	10094
243	3251	10073
244	3260	10047
245	3270	10023
246	3279	9997
247	3288	9972
248	3297	9945
249	3309	9927
250	3318	9902
251	3327	9877
252	3340	9862
253	3350	9841
254	3363	9828
255	3376	9813
256	3389	9800
257	3403	9789
258	3415	9770
259	3429	9760
260	3442	9745
261	3454	9730
262	3467	9717
263	3479	9701
264	3490	9680
265	3500	9659
266	3511	9640
267	3521	9619
268	3532	9600
269	3544	9583
270	3555	9563
271	3565	9541
272	3578	9528
273	3589	9511
274	3603	9500
275	3614	9482
276	3625	9463
277	3640	9455
278	3652	9438
279	3664	9423
280	3673	9400
281	3684	9380
282	3694	9361
283	3705	9342
284	3715	9321
285	3726	9302
286	3735	9280
287	3746	9262
288	3758	9245
289	3768	9225
290	3778	9205
291	3788	9186
292	3800	9170
293	3812	9154
294	3823	9137
295	3833	9118
296	3844	9100
297	3857	9086
298	3875	9087
299	3892	9081
300	3914	9090
301	3937	9099
302	3953	9094
303	3968	9085
304	3984	9080
305	3997	9066
306	4010	9051
307	4021	9035
308	4039	9034
309	4049	9013
310	4071	9019
311	4087	9013
312	4100	9000
313	4114	8988
314	4132	8986
315	4146	8974
316	4157	8957
317	4168	8939
318	4179	8923
319	4195	8914
320	4206	8898
321	4223	8893
322	4234	8875
323	4246	8860
324	4257	8843
325	4269	8826
326	4281	8812
327	4293	8796
328	4307	8785
329	4317	8766
330	4329	8751
331	4341	8735
332	4354	8721
333	4407	8788
334	4454	8842
335	4489	8871
336	4512	8876
337	4529	8870
338	4561	8893
339	4582	8896
340	4624	8936
341	4639	8926
342	4652	8911
343	4665	8897
344	4680	8886
345	4694	8873
346	4717	8877
347	4728	8858
348	4741	8844
349	4751	8824
350	4763	8808
351	4783	8805
352	4803	8803
353	4816	8790
354	4831	8778
355	4845	8765
356	4875	8781
357	4896	8780
358	4910	8767
359	4925	8756
360	4936	8738
361	4949	8723
362	4959	8703
363	4970	8684
364	4981	8666
365	4995	8653
366	5007	8637
367	5018	8618
368	5032	8605
369	5043	8587
370	5055	8571
371	5066	8553
372	5077	8535
373	5092	8523
374	5105	8509
375	5116	8492
376	5128	8475
377	5143	8463
378	5158	8452
379	5173	8440
380	5185	8425
381	5199	8411
382	5212	8397
383	5224	8381
384	5237	8366
385	5249	8351
386	5269	8347
387	5283	8334
388	5307	8336
389	5331	8338
390	5346	8327
391	5361	8316
392	5374	8300
393	5389	8288
394	5402	8275
395	5417	8263
396	5430	8247
397	5447	8239
398	5464	8230
399	5478	8218
400	5490	8202
401	5506	8190
402	5519	8176
403	5532	8161
404	5546	8148
405	5559	8133
406	5569	8115
407	5580	8097
408	5591	8080
409	5605	8066
410	5617	8049
411	5627	8032
412	5638	8013
413	5649	7996
414	5659	7977
415	5670	7959
416	5680	7942
417	5692	7925
418	5702	7907
419	5712	7888
420	5722	7869
421	5733	7852
422	5744	7835
423	5755	7818
424	5766	7802
425	5778	7786
426	5791	7771
427	5803	7755
428	5817	7743
429	5828	7726
430	5840	7710
431	5851	7693
432	5864	7679
433	5878	7665
434	5888	7648
435	5898	7630
436	5910	7614
437	5921	7597
438	5931	7580
439	5942	7563
440	5955	7549
441	5966	7532
442	5975	7513
443	5987	7498
444	5998	7481
445	6007	7462
446	6018	7445
447	6029	7428
448	6038	7410
449	6049	7394
450	6059	7375
451	6068	7357
452	6079	7341
453	6090	7324
454	6100	7307
455	6111	7291
456	6121	7273
457	6131	7255
458	6142	7239
459	6153	7223
460	6172	7217
461	6182	7199
462	6192	7181
463	6202	7164
464	6211	7147
465	6220	7127
466	6227	7108
467	6238	7091
468	6246	7072
469	6255	7053
470	6264	7036
471	6272	7017
472	6281	6998
473	6289	6979
474	6298	6961
475	6308	6945
476	6321	6930
477	6333	6916
478	6343	6899
479	6354	6883
480	6364	6867
481	6373	6850
482	6384	6833
483	6394	6817
484	6405	6801
485	6413	6783
486	6424	6767
487	6435	6751
488	6445	6735
489	6455	6719
490	6467	6704
491	6476	6687
492	6485	6669
493	6495	6653
